fpr,tpr
1.0,1.0
0.9999746636600877,1.0
0.9999493273201753,1.0
0.999923990980263,1.0
0.9998986546403507,1.0
0.9998733183004384,1.0
0.9998479819605259,1.0
0.9998226456206136,1.0
0.9997973092807013,1.0
0.999771972940789,1.0
0.9997466366008766,1.0
0.9997213002609643,1.0
0.999695963921052,1.0
0.9996706275811397,1.0
0.9996452912412273,1.0
0.9996199549013149,1.0
0.9995946185614026,1.0
0.9995692822214903,1.0
0.9995439458815779,1.0
0.9995186095416656,1.0
0.9994932732017533,1.0
0.999467936861841,1.0
0.9994426005219286,1.0
0.9994172641820163,1.0
0.999391927842104,1.0
0.9993665915021916,1.0
0.9993412551622792,1.0
0.9993159188223669,1.0
0.9992905824824546,1.0
0.9992652461425422,1.0
0.9992399098026299,1.0
0.9992145734627176,1.0
0.9991892371228053,1.0
0.9991639007828929,1.0
0.9991385644429805,1.0
0.9991132281030682,1.0
0.9990878917631559,1.0
0.9990625554232435,1.0
0.9990372190833312,1.0
0.9990118827434189,1.0
0.9989865464035066,1.0
0.9989612100635942,1.0
0.9989358737236819,1.0
0.9989105373837696,1.0
0.9988852010438573,1.0
0.9988598647039448,1.0
0.9988345283640325,1.0
0.9988091920241202,1.0
0.9987838556842079,1.0
0.9987585193442955,1.0
0.9987331830043832,1.0
0.9987078466644709,1.0
0.9986825103245585,1.0
0.9986571739846462,1.0
0.9986318376447338,1.0
0.9986065013048215,1.0
0.9985811649649091,1.0
0.9985558286249968,1.0
0.9985304922850845,1.0
0.9985051559451722,1.0
0.9984798196052598,1.0
0.9984544832653475,1.0
0.9984544832653475,0.9997059688326962
0.9984291469254352,0.9997059688326962
0.9984038105855229,0.9997059688326962
0.9983784742456104,0.9997059688326962
0.9983531379056981,0.9997059688326962
0.9983278015657858,0.9997059688326962
0.9983024652258735,0.9997059688326962
0.9982771288859611,0.9997059688326962
0.9982517925460488,0.9997059688326962
0.9982264562061365,0.9997059688326962
0.9982011198662242,0.9997059688326962
0.9981757835263118,0.9997059688326962
0.9981504471863994,0.9997059688326962
0.9981251108464871,0.9997059688326962
0.9980997745065748,0.9997059688326962
0.9980744381666624,0.9997059688326962
0.9980491018267501,0.9997059688326962
0.9980237654868378,0.9997059688326962
0.9979984291469254,0.9997059688326962
0.9979730928070131,0.9997059688326962
0.9979477564671008,0.9997059688326962
0.9979224201271885,0.9997059688326962
0.997897083787276,0.9997059688326962
0.9978717474473637,0.9997059688326962
0.9978464111074514,0.9997059688326962
0.9978210747675391,0.9997059688326962
0.9977957384276267,0.9997059688326962
0.9977704020877144,0.9997059688326962
0.9977450657478021,0.9997059688326962
0.9977197294078898,0.9997059688326962
0.9976943930679774,0.9997059688326962
0.997669056728065,0.9997059688326962
0.9976437203881527,0.9997059688326962
0.9976183840482404,0.9997059688326962
0.997593047708328,0.9997059688326962
